Data1,,,Data2,,,Data3,,,Data4,,,Data5,
Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) 
8.412539915,1,,,,,,,,,,,,
8.467441223,1,,,,,,,,,,,,
8.544303054,1,,,,,,,,,,,,
8.610184623,1,,,,,,,,,,,,
8.719987238,1,,,,,,,,,,,,
8.846260246,1,,,,,,,,,,,,
8.9450826,1,,,,,,,,,,,,
9.054885215,1,,,,,,,,,,,,
9.131747046,1,,,,,,,,,,,,
9.192138484,1,,,,,,,,,,,,
9.258020053,1,,,,,,,,,,,,
9.340372015,1,,,,,,,,,,,,
9.422723976,1,,,,,,,,,,,,
9.499585807,1,,,,,,,,,,,,
9.576447638,1,,,,,,,,,,,,
9.658799599,1,,,,,,,,,,,,
9.708210776,1,,,,,,,,,,,,
9.763112084,1,,,,,,,,,,,,
9.87840483,1,,,,,,,,,,,,
9.960756791,1,,,,,,,,,,,,
10.08153967,1,,,,,,,,,,,,
10.1584015,1,,,,,,,,,,,,
10.24624359,1,,,,,,,,,,,,
10.32310542,1,,,,,,,,,,,,
10.38898699,1,,,,,,,,,,,,
10.45486856,1,,,,,,,,,,,,
10.52624026,1,,,,,,,,,,,,
10.59212183,1,,,,,,,,,,,,
10.6580034,1,,,,,,,,,,,,
10.71839484,1,,,,,,,,,,,,
10.78427641,1,,,,,,,,,,,,
10.86113824,1,,,,,,,,,,,,
10.93250994,1,,,,,,,,,,,,
11.05878294,1,,,,,,,,,,,,
11.13564478,1,,,,,,,,,,,,
11.18505595,1,,,,,,,,,,,,
11.25642765,1,,,,,,,,,,,,
11.34426974,1,,,,,,,,,,,,
11.41015131,1,,,,,,,,,,,,
11.52544406,1,,,,,,,,,,,,
11.59681576,1,,,,,,,,,,,,
11.64073681,1,,,,,,,,,,,,
11.78897034,1,,,,,,,,,,,,
11.86583217,1,,,,,,,,,,,,
11.93720387,1,,,,,,,,,,,,
12.0854374,1,,,,,,,,,,,,
12.14033871,1,,,,,,,,,,,,
12.19524001,1,,,,,,,,,,,,
12.30504263,1,,,,,,,,,,,,
12.4258255,1,,,,,,,,,,,,
12.54111825,1,,,,,,,,,,,,
12.62347021,1,,,,,,,,,,,,
12.70582217,1,,,,,,,,,,,,
12.80464453,1,,,,,,,,,,,,
12.98032871,1,,,,,,,,,,,,
12.98032871,1,,,,,,,,,,,,
13.0681708,1,,,,,,,,,,,,
13.13405237,1,,,,,,,,,,,,
13.26581551,1,,,,,,,,,,,,
13.32620695,1,,,,,,,,,,,,
13.370128,1,,,,,,,,,,,,
13.43600957,1,,,,,,,,,,,,
13.55679244,1,,,,,,,,,,,,
13.61169375,1,,,,,,,,,,,,
13.69404571,1,,,,,,,,,,,,
13.79286807,1,,,,,,,,,,,,
13.84227924,1,,,,,,,,,,,,
13.91365094,1,,,,,,,,,,,,
14.0124733,1,,,,,,,,,,,,
14.0673746,1,,,,,,,,,,,,
14.16619696,1,,,,,,,,,,,,
14.27599957,1,,,,,,,,,,,,
14.34737127,1,,,,,,,,,,,,
14.45168376,1,,,,,,,,,,,,
14.51756533,1,,,,,,,,,,,,
14.63285807,1,,,,,,,,,,,,
14.7097199,1,,,,,,,,,,,,
14.7810916,1,,,,,,,,,,,,
14.8689337,1,,,,,,,,,,,,
14.98971657,1,,,,,,,,,,,,
15.05559814,1,,,,,,,,,,,,
15.11049945,1,,,,,,,,,,,,
15.1544205,1,,,,,,,,,,,,
15.37951586,1,,,,,,,,,,,,
15.26971324,1,,,,,,,,,,,,
15.46186782,1,,,,,,,,,,,,
15.59363096,1,,,,,,,,,,,,
15.59363096,1,,,,,,,,,,,,
15.73637436,1,,,,,,,,,,,,
15.73637436,1,,,,,,,,,,,,
15.84617697,1,,,,,,,,,,,,
15.98892037,1,,,,,,,,,,,,
16.08225259,1,,,,,,,,,,,,
16.15362429,1,,,,,,,,,,,,
16.2085256,1,,,,,,,,,,,,
16.30734796,1,,,,,,,,,,,,
16.34577887,1,,,,,,,,,,,,
16.39519005,1,,,,,,,,,,,,
16.53793345,1,,,,,,,,,,,,
16.59283476,1,,,,,,,,,,,,
16.66969659,1,,,,,,,,,,,,
16.75753868,1,,,,,,,,,,,,
16.80694986,1,,,,,,,,,,,,
16.91126234,1,,,,,,,,,,,,
16.97714391,1,,,,,,,,,,,,
17.04851561,1,,,,,,,,,,,,
17.15282809,1,,,,,,,,,,,,
17.2077294,1,,,,,,,,,,,,
17.32851228,1,,,,,,,,,,,,
17.41635437,1,,,,,,,,,,,,
17.52066686,1,,,,,,,,,,,,
17.59203855,1,,,,,,,,,,,,
17.71831156,1,,,,,,,,,,,,
17.78968326,1,,,,,,,,,,,,
17.9214464,1,,,,,,,,,,,,
18.00928849,1,,,,,,,,,,,,
18.14105163,1,,,,,,,,,,,,
18.21242333,1,,,,,,,,,,,,
18.30575555,1,,,,,,,,,,,,
18.36065686,1,,,,,,,,,,,,
18.48143974,1,,,,,,,,,,,,
18.58575222,1,,,,,,,,,,,,
18.69006471,1,,,,,,,,,,,,
18.7779068,1,,,,,,,,,,,,
18.8492785,1,,,,,,,,,,,,
18.98653177,1,,,,,,,,,,,,
19.04692321,1,,,,,,,,,,,,
19.26652844,1,,,,,,,,,,,,
19.26652844,1,,,,,,,,,,,,
19.14574556,1,,,,,,,,,,,,
19.37633105,1,,,,,,,,,,,,
19.48064354,1,,,,,,,,,,,,
19.52456458,1,,,,,,,,,,,,
19.59593628,1,,,,,,,,,,,,
19.70024877,1,,,,,,,,,,,,
19.76613034,1,,,,,,,,,,,,
19.83750204,1,,,,,,,,,,,,
0.08004645,0,,,,,,,,,,,,
0.167736039,0,,,,,,,,,,,,
0.22111231,0,,,,,,,,,,,,
0.335490034,0,,,,,,,,,,,,
0.400304078,0,,,,,,,,,,,,
0.472743303,0,,,,,,,,,,,,
0.568058074,0,,,,,,,,,,,,
0.659560253,0,,,,,,,,,,,,
0.747249842,0,,,,,,,,,,,,
0.827314249,0,,,,,,,,,,,,
0.895940883,0,,,,,,,,,,,,
0.960754927,0,,,,,,,,,,,,
1.056069697,0,,,,,,,,,,,,
1.132321513,0,,,,,,,,,,,,
1.223823693,0,,,,,,,,,,,,
1.300075509,0,,,,,,,,,,,,
1.418265824,0,,,,,,,,,,,,
1.49451764,0,,,,,,,,,,,,
1.566956866,0,,,,,,,,,,,,
1.639396091,0,,,,,,,,,,,,
1.704210135,0,,,,,,,,,,,,
1.772836769,0,,,,,,,,,,,,
1.864338949,0,,,,,,,,,,,,
1.96346631,0,,,,,,,,,,,,
2.066406262,0,,,,,,,,,,,,
2.138845487,0,,,,,,,,,,,,
2.211284712,0,,,,,,,,,,,,
2.291349119,0,,,,,,,,,,,,
2.352350572,0,,,,,,,,,,,,
2.43622757,0,,,,,,,,,,,,
2.520104568,0,,,,,,,,,,,,
2.581106021,0,,,,,,,,,,,,
2.6726082,0,,,,,,,,,,,,
2.752672607,0,,,,,,,,,,,,
2.80986147,0,,,,,,,,,,,,
2.886113286,0,,,,,,,,,,,,
2.947114739,0,,,,,,,,,,,,
3.034804327,0,,,,,,,,,,,,
3.103430962,0,,,,,,,,,,,,
3.168245006,0,,,,,,,,,,,,
3.233059049,0,,,,,,,,,,,,
3.294060502,0,,,,,,,,,,,,
3.370312318,0,,,,,,,,,,,,
3.480877452,0,,,,,,,,,,,,
3.553316677,0,,,,,,,,,,,,
3.625755903,0,,,,,,,,,,,,
3.698195128,0,,,,,,,,,,,,
3.759196581,0,,,,,,,,,,,,
3.85069876,0,,,,,,,,,,,,
3.949826121,0,,,,,,,,,,,,
4.041328301,0,,,,,,,,,,,,
